pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
AU Mic b,AU Mic,1,4.79,0.29,-0.29,8.463446,5e-06,-5e-06,554.8,31.6,-32.0,3540.0,120.0,-110.0,0.862,0.052,-0.052,0.635,0.04,-0.07,0.29,5e-06,31.8,0.052,0.052,0.05500000000000001,0
AU Mic c,AU Mic,1,2.79,0.18,-0.17,18.859023,2.2e-05,-2.4e-05,424.7,24.2,-24.5,3540.0,120.0,-110.0,0.862,0.052,-0.052,0.635,0.04,-0.07,0.175,2.3e-05,24.35,0.052,0.052,0.05500000000000001,0
BD-14 3065 b,BD-14 3065 A,1,21.59,1.05,-1.05,4.2889731,5.2e-06,-5.2e-06,2001.0,31.0,-31.0,6935.0,90.0,-90.0,2.35,0.08,-0.08,1.41,0.05,-0.05,1.05,5.2e-06,31.0,0.08,0.08,0.05,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,20.8487041,0.56044903,-0.56044903,8040000.0,470000.0,-470000.0,1800.0,40.0,-40.0,2320.0,40.0,-40.0,0.245,0.007,-0.008,0.0147,0.0008,-0.0008,0.56044903,470000.0,40.0,0.0075,0.0075,0.0008,0
CoRoT-1 b,CoRoT-1,1,16.7,0.9,-0.9,1.5089557,6.4e-06,-6.4e-06,1898.0,50.0,-50.0,5950.0,150.0,-150.0,1.11,0.05,-0.05,0.95,0.15,-0.15,0.9,6.4e-06,50.0,0.05,0.05,0.15,0
CoRoT-10 b,CoRoT-10,1,10.87,0.78,-0.78,13.2406,0.0002,-0.0002,600.0,23.0,-23.0,5075.0,75.0,-75.0,0.79,0.05,-0.05,0.89,0.05,-0.05,0.78,0.0002,23.0,0.05,0.05,0.05,0
CoRoT-11 b,CoRoT-11,1,16.03,0.34,-0.34,2.99433,1.1e-05,-1.1e-05,1657.0,55.0,-55.0,6440.0,120.0,-120.0,1.37,0.03,-0.03,1.27,0.05,-0.05,0.34,1.1e-05,55.0,0.03,0.03,0.05,0
CoRoT-12 b,CoRoT-12,1,16.14,1.46,-1.46,2.828042,1.3e-05,-1.3e-05,1442.0,58.0,-58.0,5675.0,80.0,-80.0,1.116,0.096,-0.092,1.078,0.077,-0.072,1.46,1.3e-05,58.0,0.094,0.094,0.0745,0
CoRoT-13 b,CoRoT-13,1,9.92,0.157,-0.157,4.03519,3e-05,-3e-05,1700.0,,,5945.0,90.0,-90.0,1.01,0.03,-0.03,1.09,0.02,-0.02,0.157,3e-05,0.0,0.03,0.03,0.02,0
CoRoT-14 b,CoRoT-14,1,12.22,0.78,-0.78,1.51214,0.00013,-0.00013,1952.0,66.0,-66.0,6035.0,100.0,-100.0,1.21,0.08,-0.08,1.13,0.09,-0.09,0.78,0.00013,66.0,0.08,0.08,0.09,0
CoRoT-17 b,CoRoT-17,1,11.43,0.78,-0.78,3.7681,0.0003,-0.0003,1626.0,31.0,-31.0,5740.0,80.0,-80.0,1.59,0.07,-0.07,1.04,0.1,-0.1,0.78,0.0003,31.0,0.07,0.07,0.1,0
CoRoT-18 b,CoRoT-18,1,14.68,2.02,-2.02,1.9000693,2.8e-06,-2.8e-06,1550.0,90.0,-90.0,5440.0,100.0,-100.0,1.0,0.13,-0.13,0.95,0.15,-0.15,2.02,2.8e-06,90.0,0.13,0.13,0.15,0
